players_id,year_id,avg_velocity,spin_rate,pitch_count,strike_rate
abadfe01,2017,84.72265625,2153.9401041666665,827,0.2781136638452237
abadfe01,2019,86.72456140350877,2170.1929824561403,174,0.3563218390804598
abadfe01,2021,84.79171428571428,2181.5885714285714,386,0.24611398963730569
abadfe01,2023,87.43791666666667,2154.326359832636,264,0.23484848484848486
abbotan01,2023,88.08728024819028,2356.1593977154726,1934,0.26215098241985524
abbotco01,2021,89.93011363636364,2306.2792022792023,360,0.18888888888888888
abbotco01,2022,88.51775147928994,2229.0975029726515,866,0.23672055427251731
abbotco01,2023,88.08928104575162,2312.708496732026,765,0.269281045751634
abreual01,2020,91.11162790697674,2056.1162790697676,80,0.3
abreual01,2021,92.59528432732318,2119.0638002773926,721,0.26768377253814146
abreual01,2022,94.3977690288714,2185.514435695538,773,0.2820181112548512
abreual01,2023,93.26421780466725,2129.7294727744165,1171,0.2749786507258753
abreubr01,2019,89.0005882352941,2606.6176470588234,201,0.31343283582089554
abreubr01,2020,87.88019801980198,2428.2871287128714,173,0.3352601156069364
abreubr01,2021,91.50758807588076,2428.107046070461,792,0.26515151515151514
abreubr01,2022,91.95625498007969,2602.2633679169994,1273,0.3110761979575805
abreubr01,2023,91.72786647314949,2689.052478134111,1398,0.3333333333333333
acevedo01,2021,89.18181818181819,2053.8888888888887,210,0.24285714285714285
acevedo01,2022,89.36985074626867,2064.339303482587,1043,0.2722914669223394
acevedo01,2023,88.41822660098521,2023.681592039801,252,0.23412698412698413
actonga01,2023,92.02733333333333,2376.88,189,0.31216931216931215
adamja01,2018,88.52626970227671,2505.1142355008787,571,0.23467600700525393
adamja01,2019,89.40432692307692,2480.824519230769,481,0.2785862785862786
adamja01,2020,89.81846153846155,2628.298387096774,342,0.3304093567251462
adamja01,2021,88.94362139917695,2552.688796680498,298,0.28523489932885904
adamja01,2022,88.47179226069248,2471.661914460285,1010,0.3405940594059406
adamja01,2023,88.01659436008677,2515.0,922,0.3199566160520607
adamsau01,2019,92.14063492063492,2263.908396946565,351,0.2564102564102564
adamsau02,2017,91.90381679389313,2491.254098360656,188,0.34574468085106386
adamsau02,2018,92.21666666666665,2576.2727272727275,86,0.3953488372093023
adamsau02,2019,91.46811320754716,2736.0705645161293,584,0.3493150684931507
adamsau02,2020,87.73027522935779,2745.472222222222,109,0.3669724770642202
adamsau02,2021,87.83991683991684,2801.652445369407,972,0.3292181069958848
adamsau02,2022,87.54791666666665,2713.2083333333335,92,0.34782608695652173
adamsau02,2023,88.67209944751382,2900.1357340720224,362,0.281767955801105
adamsch01,2018,89.09084967320261,2453.046357615894,196,0.1683673469387755
adamsch01,2019,87.68747591522158,2556.586345381526,541,0.21626617375231053
adamsch01,2020,85.34080459770115,2520.751633986928,208,0.25961538461538464
adcocty01,2023,90.92608695652173,2114.169082125604,230,0.23478260869565218
adlemti01,2017,86.40859750240155,2064.9466346153845,2254,0.25332741792369123
adonjo01,2021,89.86635514018691,2164.9158878504672,114,0.2894736842105263
adonjo01,2022,90.71549079754601,2182.318040435459,1329,0.23927765237020315
adonjo01,2023,89.83832271762209,2217.6815286624205,945,0.24338624338624337
adriaeh01,2019,68.48095238095239,1772.0,21,0.23809523809523808
adriaeh01,2020,69.10555555555555,1695.9444444444443,18,0.16666666666666666
adriaeh01,2022,60.699999999999996,1495.5833333333333,12,0.25
agrazda01,2019,88.81749347258484,2180.0662020905925,1181,0.2514817950889077
aguilmi01,2021,88.3304964539007,2243.2302158273383,155,0.23870967741935484
akinke01,2020,87.3568,2340.016,575,0.3026086956521739
akinke01,2021,87.8968525676422,2240.249309010503,1898,0.25922023182297155
akinke01,2022,89.24637568199533,2177.2462977396726,1333,0.291072768192048
