,games,opponent_batting_avg,runs,ERA,WHIP,weight,height,Age,throws_L,avg_velocity,spin_rate,strike_rate,strikeouts_per_pitch,walks_per_pitch,home_runs_per_batter,hit_by_pitch_per_batter,pitches_per_out,strikeouts_per_out,wins_per_game,losses_per_game,wild_pitches_per_game,balks_per_game,intentional_walks_per_game,saves_per_game,shutouts_per_game,complete_games_per_start,batters_faced_per_game,ip_per_game,starter_rate,finisher_rate,double_plays_per_batter,sac_flies_per_batter,sac_hits_per_batter
0,48,0.24,18,3.3,1.2366412213740459,235.0,74.0,32.0,True,84.72265625,2153.9401041666665,0.2781136638452237,0.044740024183796856,0.016928657799274487,0.02197802197802198,0.005494505494505495,6.312977099236641,0.2824427480916031,0.041666666666666664,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,3.7916666666666665,0.9097222222222222,0.0,0.3125,0.02197802197802198,0.01098901098901099,0.0
1,21,0.2,6,4.15,0.9230769230769231,235.0,74.0,34.0,True,86.72456140350877,2170.1929824561403,0.3563218390804598,0.05172413793103448,0.017241379310344827,0.04081632653061224,0.0,4.461538461538462,0.23076923076923078,0.0,0.09523809523809523,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.6190476190476191,0.0,0.047619047619047616,0.061224489795918366,0.0,0.0
2,16,0.31,12,5.6,1.6981132075471697,235.0,74.0,36.0,True,84.79171428571428,2181.5885714285714,0.24611398963730569,0.025906735751295335,0.018134715025906734,0.012195121951219513,0.0,7.283018867924528,0.18867924528301888,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,5.125,1.1041666666666667,0.0,0.25,0.036585365853658534,0.0,0.0
3,6,0.38,3,4.26,2.210526315789474,235.0,74.0,38.0,True,87.43791666666667,2154.326359832636,0.23484848484848486,0.007575757575757576,0.011363636363636364,0.0625,0.0,13.894736842105264,0.10526315789473684,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.333333333333333,1.0555555555555556,0.0,0.3333333333333333,0.0625,0.0,0.0
4,21,0.24,47,3.87,1.3170731707317074,192.0,72.0,24.0,True,88.08728024819028,2356.1593977154726,0.26215098241985524,0.06204756980351603,0.022750775594622543,0.034858387799564274,0.002178649237472767,5.896341463414634,0.36585365853658536,0.38095238095238093,0.2857142857142857,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,21.857142857142858,5.2063492063492065,1.0,0.0,0.013071895424836602,0.010893246187363835,0.0
5,7,0.29,15,6.75,1.7884615384615385,220.0,74.0,26.0,False,89.93011363636364,2306.2792022792023,0.18888888888888888,0.03333333333333333,0.030555555555555555,0.08536585365853659,0.0,6.923076923076923,0.23076923076923078,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,11.714285714285714,2.476190476190476,0.14285714285714285,0.2857142857142857,0.0,0.0,0.012195121951219513
6,16,0.24,30,5.25,1.4375,220.0,74.0,27.0,False,88.51775147928994,2229.0975029726515,0.23672055427251731,0.05196304849884527,0.028868360277136258,0.05555555555555555,0.023148148148148147,6.013888888888889,0.3125,0.0,0.3125,0.125,0.0,0.0,0.0,0.0,0.0,13.5,3.0,0.5625,0.4375,0.0,0.009259259259259259,0.0
7,22,0.31,29,6.64,1.7033898305084745,220.0,74.0,28.0,False,88.08928104575162,2312.708496732026,0.269281045751634,0.05228758169934641,0.02483660130718954,0.04918032786885246,0.02185792349726776,6.483050847457627,0.3389830508474576,0.045454545454545456,0.09090909090909091,0.18181818181818182,0.045454545454545456,0.0,0.0,0.0,0.0,8.318181818181818,1.787878787878788,0.0,0.45454545454545453,0.0273224043715847,0.01639344262295082,0.0
8,2,0.5,4,20.25,4.5,190.0,74.0,25.0,False,91.11162790697674,2056.1162790697676,0.3,0.025,0.025,0.09090909090909091,0.09090909090909091,20.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.6666666666666666,0.0,0.5,0.0,0.0,0.0
9,28,0.21,21,5.15,1.2545454545454546,190.0,74.0,26.0,False,92.59528432732318,2119.0638002773926,0.26768377253814146,0.04854368932038835,0.026352288488210817,0.05128205128205128,0.019230769230769232,6.554545454545455,0.3181818181818182,0.07142857142857142,0.0,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.0,5.571428571428571,1.3095238095238095,0.0,0.5,0.019230769230769232,0.019230769230769232,0.0
